time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-18T15:30:42.000Z,57.8449,-153.4538,40.9,3.4,ml,,,,0.74,ak,ak11742474,2015-10-18T23:33:26.037Z,"46km NE of Larsen Bay, Alaska",earthquake
2015-10-18T15:25:36.900Z,2.0653,126.7433,52.84,4.8,mb,,63,1.428,0.78,us,us10003pi8,2015-10-18T23:28:18.863Z,"145km WNW of Tobelo, Indonesia",earthquake
2015-10-18T14:54:05.000Z,67.7823,-149.7958,8,2.7,ml,,,,0.61,ak,ak11742423,2015-10-18T22:56:39.573Z,"60km NNE of Coldfoot, Alaska",earthquake
2015-10-18T14:49:15.230Z,1.4038,97.1193,35.06,4.6,mb,,99,0.466,0.81,us,us10003pi2,2015-10-18T22:51:53.301Z,"144km SE of Sinabang, Indonesia",earthquake
2015-10-18T13:28:01.800Z,18.6,-68.0084,22,2.5,Md,6,331.2,0.54527738,0.25,pr,pr15291014,2015-10-18T21:30:31.616Z,"41km E of Punta Cana, Dominican Republic",earthquake
2015-10-18T13:16:34.210Z,38.8076667,-122.8156667,1.3,3.3,ml,61,30,0.01591,0.1,nc,nc72539720,2015-10-20T18:35:53.602Z,"6km WNW of The Geysers, California",earthquake
2015-10-18T13:00:20.270Z,2.88,126.5264,47.25,5,mb,,45,2.256,1.26,us,us10003phr,2015-10-18T21:02:58.197Z,"208km NW of Tobelo, Indonesia",earthquake
2015-10-18T12:50:08.100Z,18.086,-64.164,19,3.1,Md,9,252,0.46173406,1.04,pr,pr15291012,2015-10-18T20:52:41.035Z,"60km SE of Road Town, British Virgin Islands",earthquake
2015-10-18T12:48:43.130Z,-35.9221,-72.7917,44.09,4.9,mb,,134,1.127,0.48,us,us10003phn,2015-10-20T16:38:41.000Z,"42km W of Cauquenes, Chile",earthquake
2015-10-18T11:47:22.900Z,19.0347,-64.7005,11,3.1,Md,11,237.6,0.46173406,0.23,pr,pr15291011,2015-10-18T19:50:02.154Z,"68km N of Road Town, British Virgin Islands",earthquake
2015-10-18T11:05:06.000Z,59.8979,-153.0983,120.7,3.4,ml,,,,0.44,ak,ak11742317,2015-10-18T20:28:31.843Z,"75km SSW of Redoubt Volcano, Alaska",earthquake
2015-10-18T10:49:08.700Z,18.0746,-66.2701,12,2.7,Md,13,108,0.18954452,0.11,pr,pr15291010,2015-10-18T13:40:07.754Z,"3km WNW of Vazquez, Puerto Rico",earthquake
2015-10-18T10:35:02.170Z,45.8404,150.8138,80.91,4.9,mb,,135,5.681,0.68,us,us10003phf,2015-10-18T18:37:42.084Z,"238km ENE of Kuril'sk, Russia",earthquake
2015-10-18T09:22:34.400Z,17.8411,-66.1794,12,2.6,Md,9,259.2,0.14193381,0.2,pr,pr15291009,2015-10-18T17:25:13.015Z,"12km S of Jobos, Puerto Rico",earthquake
2015-10-18T08:50:45.000Z,61.5509,-151.6744,81.3,2.5,ml,,,,0.57,ak,ak11742267,2015-10-18T16:54:07.605Z,"89km WSW of Willow, Alaska",earthquake
2015-10-18T07:37:12.000Z,59.4533,-154.8583,197.1,2.9,ml,,,,0.84,ak,ak11742229,2015-10-18T15:40:05.208Z,"33km S of Old Iliamna, Alaska",earthquake
2015-10-18T07:08:19.720Z,37.06,-97.528,6.1,2.58,ml,21,106,0.06185,0.03,ismpkansas,ismpkansas70145158,2015-10-19T18:55:50.807Z,"7km ENE of Caldwell, Kansas",earthquake
2015-10-18T05:51:45.500Z,19.0181,-63.7709,22,2.9,Md,4,342,0.60276956,0.25,pr,pr15291007,2015-10-18T13:54:22.855Z,"111km NE of Road Town, British Virgin Islands",earthquake
2015-10-18T05:15:30.000Z,62.7829,-149.2689,65.8,4.1,ml,,,,0.76,ak,ak11742153,2015-10-18T21:18:42.040Z,"65km NE of Talkeetna, Alaska",earthquake
2015-10-18T05:07:34.390Z,35.8801,-97.3586,6.72,2.9,mb_lg,,65,0.114,0.36,us,us10003pgm,2015-10-18T12:17:49.981Z,"6km E of Guthrie, Oklahoma",earthquake
